Date,Open,High,Low,Close,Volume,Adj Close
2016-02-18,72.709999,72.769997,71.07,71.559998,000,71.559998
2016-02-17,73.360001,73.620003,72.379997,72.529999,000,72.529999
2016-02-16,71.800003,73.239998,71.150002,72.769997,000,72.769997
2016-02-12,69.169998,70.980003,69.120003,70.870003,000,70.870003
2016-02-11,68.720001,68.839996,67.290001,68.099998,000,68.099998
2016-02-10,71.470001,72.220001,70.110001,70.129997,000,70.129997
2016-02-09,69.860001,71.199997,69.690002,70.720001,000,70.720001
2016-02-08,70.720001,71.019997,69.589996,70.75,000,70.75
2016-02-05,73.029999,73.620003,71.690002,71.699997,000,71.699997
2016-02-04,72.339996,73.830002,72.050003,72.970001,000,72.970001
2016-02-03,72.540001,72.580002,70.099998,72.440002,000,72.440002
2016-02-02,72.900002,72.940002,71.32,71.739998,000,71.739998
2016-02-01,73.75,74.209999,73.010002,73.779999,000,73.779999
2016-01-29,72.580002,74.169998,72.410004,74.169998,000,74.169998
2016-01-28,72.269997,73.639999,72.220001,72.809998,000,72.809998
2016-01-27,70.800003,73.040001,70.519997,71.519997,000,71.519997
2016-01-26,69.010002,70.989998,69.010002,70.910004,000,70.910004
2016-01-25,70.879997,71.029999,68.32,68.400002,000,68.400002
2016-01-22,70.839996,71.529999,70.440002,71.279999,000,71.279999
2016-01-21,71.190002,72.00,70.120003,70.129997,000,70.129997
2016-01-20,70.639999,71.769997,68.910004,71.099998,000,71.099998
2016-01-19,72.989998,73.18,71.169998,71.620003,000,71.620003
2016-01-15,71.940002,72.300003,70.410004,72.269997,000,72.269997
2016-01-14,73.209999,74.07,72.099998,73.449997,000,73.449997
2016-01-13,75.809998,75.809998,72.220001,72.660004,000,72.660004
2016-01-12,76.099998,76.099998,74.360001,75.620003,000,75.620003
2016-01-11,75.660004,76.059998,74.860001,75.339996,000,75.339996
2016-01-08,77.309998,77.43,75.120003,75.209999,000,75.209999
2016-01-07,77.849998,78.209999,76.639999,76.660004,000,76.660004
2016-01-06,78.519997,79.50,78.260002,79.019997,000,79.019997
2016-01-05,79.800003,80.25,79.18,79.709999,000,79.709999
2016-01-04,80.620003,80.660004,79.160004,79.639999,000,79.639999
2015-12-31,82.769997,83.25,81.940002,81.970001,000,81.970001
2015-12-30,83.970001,83.970001,83.089996,83.129997,000,83.129997
2015-12-29,83.709999,84.25,83.349998,84.139999,000,84.139999
2015-12-28,83.110001,83.370003,82.129997,83.260002,000,83.260002
2015-12-24,83.099998,83.980003,83.080002,83.510002,000,83.510002
2015-12-23,82.589996,83.120003,82.209999,83.059998,000,83.059998
2015-12-22,82.199997,82.209999,80.910004,82.110001,000,82.110001
2015-12-21,81.720001,82.300003,80.900002,81.800003,000,81.800003
2015-12-18,82.419998,82.419998,80.690002,81.199997,000,81.199997
2015-12-17,84.32,84.43,82.669998,82.910004,000,82.910004
2015-12-16,84.029999,84.43,82.309998,84.169998,000,84.169998
2015-12-15,82.199997,83.800003,82.169998,83.470001,000,83.470001
2015-12-14,81.639999,82.120003,80.639999,81.379997,000,81.379997
2015-12-11,82.339996,82.620003,81.139999,81.57,000,81.57
2015-12-10,83.25,84.279999,82.760002,83.629997,000,83.629997
2015-12-09,84.300003,84.989998,82.940002,83.360001,000,83.360001
2015-12-08,85.480003,85.709999,84.470001,84.68,000,84.68
2015-12-07,88.040001,88.050003,85.879997,86.25,000,86.25
2015-12-04,86.800003,88.459999,86.650002,88.220001,000,88.220001
2015-12-03,88.57,88.760002,86.519997,86.610001,000,86.610001
2015-12-02,89.690002,89.800003,87.82,87.879997,000,87.879997
2015-12-01,89.660004,89.989998,88.879997,89.599998,000,89.599998
2015-11-30,89.68,89.849998,89.160004,89.370003,000,89.370003
2015-11-27,89.43,89.510002,88.699997,89.440002,000,89.440002
